No	GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
6165	10998	2.57e-02	1.47e-02	0.2826	2.440.584	0.6898042	36.06	SLC27A5	solute carrier family 27 member 5
6166	6949	2.57e-02	1.47e-02	0.1811	2.439.888	0.4419498	38.73	TCOF1	treacle ribosome biogenesis factor 1
6167	23481	2.57e-02	1.47e-02	0.1677	2.439.887	0.4091405	22.49	PES1	pescadillo ribosomal biogenesis factor 1
6168	23594	2.57e-02	1.47e-02	0.2128	2.439.731	0.5192412	38.32	ORC6	origin recognition complex subunit 6
6169	4809	2.58e-02	1.47e-02	0.158	2.439.488	0.3855527	2658.29	SNU13	small nuclear ribonucleoprotein 13
6170	11333	2.58e-02	1.47e-02	0.1033	-2.439.264	-0.2520792	234.5	PDAP1	PDGFA associated protein 1
6171	7270	2.58e-02	1.47e-02	0.1311	2.438.925	0.3197224	169.84	TTF1	transcription termination factor 1
6172	2073	2.58e-02	1.47e-02	0.1002	-2.438.757	-0.2443328	33.98	ERCC5	ERCC excision repair 5, endonuclease
6173	56983	2.58e-02	1.48e-02	0.101	2.438.307	0.246178	82.34	POGLUT1	protein O-glucosyltransferase 1
6174	79876	2.58e-02	1.48e-02	0.146	2.438.073	0.3559062	43.05	UBA5	ubiquitin like modifier activating enzyme 5
6175	56672	2.59e-02	1.48e-02	0.1459	2.437.837	0.3557323	125.31	AKIP1	A-kinase interacting protein 1
6176	10766	2.59e-02	1.48e-02	0.1766	-2.437.615	-0.430565	28.71	TOB2	transducer of ERBB2, 2
6177	79001	2.60e-02	1.49e-02	0.1293	-2.435.846	-0.3150025	367.01	VKORC1	vitamin K epoxide reductase complex subunit 1
6178	4860	2.60e-02	1.49e-02	0.202	-2.435.215	-0.4918521	87.97	PNP	purine nucleoside phosphorylase
6179	105371260	2.61e-02	1.49e-02	0.0956	2.434.129	0.2328163	62.39	LIX1L-AS1	LIX1L antisense RNA 1
6180	115992	2.62e-02	1.50e-02	0.2553	-2.433.087	-0.6210933	15.87	RNF166	ring finger protein 166
6181	10558	2.62e-02	1.50e-02	0.0859	2.432.714	0.2090822	667.86	SPTLC1	serine palmitoyltransferase long chain base subunit 1
6182	7468	2.63e-02	1.50e-02	0.2278	2.431.646	0.5540002	21.99	NSD2	nuclear receptor binding SET domain protein 2
6183	2932	2.63e-02	1.50e-02	0.1609	2.431.297	0.3911014	36.28	GSK3B	glycogen synthase kinase 3 beta
6184	57589	2.63e-02	1.51e-02	0.2871	-2.430.658	-0.6978068	23.1	RIC1	RIC1 homolog, RAB6A GEF complex partner 1
6185	7390	2.64e-02	1.51e-02	0.176	2.429.936	0.4276074	77.96	UROS	uroporphyrinogen III synthase
6186	9353	2.64e-02	1.51e-02	0.3342	2.429.104	0.8118386	21.62	SLIT2	slit guidance ligand 2
6187	392	2.65e-02	1.52e-02	0.1688	2.428.485	0.4099163	111.76	ARHGAP1	Rho GTPase activating protein 1
6188	89796	2.65e-02	1.52e-02	0.2266	2.428.276	0.5502448	53.14	NAV1	neuron navigator 1
6189	92521	2.65e-02	1.52e-02	0.2781	2.428.239	0.6753236	43.19	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1
6190	7699	2.65e-02	1.52e-02	0.1713	2.427.871	0.4158075	80.64	ZNF140	zinc finger protein 140
6191	9520	2.65e-02	1.52e-02	0.1165	242.774	0.2827626	114.22	NPEPPS	aminopeptidase puromycin sensitive
6192	65982	2.66e-02	1.52e-02	0.3147	2.426.455	0.7636065	11.8	ZSCAN18	zinc finger and SCAN domain containing 18
6193	199704	2.67e-02	1.53e-02	0.1197	-2.424.737	-0.2903079	207.35	ZNF585A	zinc finger protein 585A
6194	80028	2.68e-02	1.54e-02	0.2142	2.423.877	0.519311	19.62	FBXL18	F-box and leucine rich repeat protein 18
6195	10548	2.68e-02	1.54e-02	0.1217	-2.423.062	-0.2948783	98.02	TM9SF1	transmembrane 9 superfamily member 1
6196	317648	2.69e-02	1.54e-02	0.2003	2.422.658	0.4852391	14.64	NOP14-AS1	NOP14 antisense RNA 1
6197	11267	2.69e-02	1.54e-02	0.1717	2.422.454	0.4158938	579.04	SNF8	SNF8 subunit of ESCRT-II
6198	6302	2.70e-02	1.55e-02	0.0988	2.420.876	0.2392697	402.49	TSPAN31	tetraspanin 31
6199	148189	2.70e-02	1.55e-02	0.2944	2.420.693	0.7126018	19.76	LINC00662	long intergenic non-protein coding RNA 662
6200	5372	2.70e-02	1.55e-02	0.1075	2.420.615	0.2602836	108.56	PMM1	phosphomannomutase 1
6201	57508	2.70e-02	1.55e-02	0.2349	2.420.407	0.5685592	24.05	INTS2	integrator complex subunit 2
6202	5698	2.71e-02	1.55e-02	0.2354	2.419.643	0.5696067	850.3	PSMB9	proteasome 20S subunit beta 9
6203	9644	2.71e-02	1.56e-02	0.3205	2.418.815	0.7752763	13.99	SH3PXD2A	SH3 and PX domains 2A
6204	23070	2.72e-02	1.56e-02	0.2144	-2.417.541	-0.5184345	24.32	CMTR1	cap methyltransferase 1
6205	10950	2.72e-02	1.56e-02	0.1625	2.417.193	0.3927742	37.48	BTG3	BTG anti-proliferation factor 3
6206	23395	2.74e-02	1.57e-02	0.1192	2.414.711	0.2877953	50	LARS2	leucyl-tRNA synthetase 2, mitochondrial
6207	151613	2.74e-02	1.58e-02	0.2382	-2.414.439	-0.5751679	22.88	TTC14	tetratricopeptide repeat domain 14
6208	54344	2.75e-02	1.58e-02	0.1589	2.413.636	0.3835257	103.63	DPM3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory
6209	6921	2.75e-02	1.58e-02	0.0776	-2.413.457	-0.1872743	1644.52	ELOC	elongin C
6210	58517	2.75e-02	1.58e-02	0.0747	-2.413.339	-0.1803843	249.21	RBM25	RNA binding motif protein 25
6211	109864273	2.75e-02	1.58e-02	0.1635	-2.412.942	-0.3945066	209.31	RNA18SN4	RNA, 18S pre-ribosomal N4
6212	3688	2.75e-02	1.58e-02	0.1236	2.412.643	0.2982659	278	ITGB1	integrin subunit beta 1
6213	92806	2.75e-02	1.58e-02	0.1764	-2.412.691	-0.4257065	32.83	CENPBD1P	CENPB DNA-binding domain containing 1, pseudogene
6214	10938	2.75e-02	1.58e-02	0.2032	2.412.562	0.4902102	53.46	EHD1	EH domain containing 1
6215	399979	2.76e-02	1.58e-02	0.2183	-241.236	-0.5267134	32.63	SNX19	sorting nexin 19
6216	92285	2.76e-02	1.59e-02	0.1936	-2.412.195	-0.466987	18.12	ZNF585B	zinc finger protein 585B
6217	284900	2.76e-02	1.59e-02	0.2198	-2.412.156	-0.530162	26.69	TTC28-AS1	TTC28 antisense RNA 1
6218	11147	2.76e-02	1.59e-02	0.2138	-2.411.366	-0.5155669	68.16	HHLA3	HERV-H LTR-associating 3
6219	5859	2.76e-02	1.59e-02	0.1227	2.411.312	0.2958785	820.48	QARS1	glutaminyl-tRNA synthetase 1
6220	9744	2.78e-02	1.60e-02	0.2744	-2.409.152	-0.66106	9.21	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
6221	81614	2.78e-02	1.60e-02	0.1571	-2.408.621	-0.3784169	48.73	NIPA2	NIPA magnesium transporter 2
6222	221037	2.78e-02	1.60e-02	0.1221	-2.408.446	-0.2940045	255.35	JMJD1C	jumonji domain containing 1C
6223	28996	2.79e-02	1.61e-02	0.2074	-2.407.523	-0.499374	24.8	HIPK2	homeodomain interacting protein kinase 2
6224	9147	2.79e-02	1.61e-02	0.0995	-2.407.536	-0.2396282	227.82	NEMF	nuclear export mediator factor
6225	255252	2.79e-02	1.61e-02	0.1181	-2.407.353	-0.2842739	51.53	LRRC57	leucine rich repeat containing 57
6226	11138	2.79e-02	1.61e-02	0.1785	2.407.153	0.4296614	29.67	TBC1D8	TBC1 domain family member 8
6227	64943	2.81e-02	1.62e-02	0.2997	-2.404.529	-0.7206051	14.63	NT5DC2	5'-nucleotidase domain containing 2
6228	79165	2.81e-02	1.62e-02	0.2075	-2.404.468	-0.4988358	44.39	LENG1	leukocyte receptor cluster member 1
6229	56931	2.82e-02	1.63e-02	0.2384	2.402.884	0.5727999	55.82	DUS3L	dihydrouridine synthase 3 like
6230	23387	2.82e-02	1.63e-02	0.3389	-2.402.503	-0.8143041	17.36	SIK3	SIK family kinase 3
6231	222194	2.82e-02	1.63e-02	0.1328	-2.402.329	-0.318972	60.27	RSBN1L	round spermatid basic protein 1 like
6232	129293	2.84e-02	1.64e-02	0.2589	2.400.331	0.6213519	35.19	TRABD2A	TraB domain containing 2A
6233	9129	2.84e-02	1.64e-02	0.1047	2.399.847	0.251316	327.68	PRPF3	pre-mRNA processing factor 3
6234	5694	2.85e-02	1.65e-02	0.0912	239.863	0.2187227	3338.97	PSMB6	proteasome 20S subunit beta 6
6235	26515	2.87e-02	1.65e-02	0.1267	2.396.853	0.303733	274.49	TIMM10B	translocase of inner mitochondrial membrane 10B
6236	22847	2.87e-02	1.66e-02	0.31	23.961	0.7427832	12.78	ZNF507	zinc finger protein 507
6237	107984839	2.88e-02	1.66e-02	0.1138	2.395.322	0.2726766	23.05	LOC107984839	uncharacterized LOC107984839
6238	1147	2.88e-02	1.66e-02	0.2684	-239.456	-0.6426479	22.99	CHUK	component of inhibitor of nuclear factor kappa B kinase complex
6239	25927	2.89e-02	1.67e-02	0.2241	2.393.897	0.5363747	61.97	CNRIP1	cannabinoid receptor interacting protein 1
6240	23099	2.89e-02	1.67e-02	0.1665	-2.393.763	-0.3986515	87.59	ZBTB43	zinc finger and BTB domain containing 43
6241	79065	2.90e-02	1.68e-02	0.1695	-2.392.132	-0.4055199	43.83	ATG9A	autophagy related 9A
6242	93621	2.91e-02	1.68e-02	0.1079	-2.391.067	-0.2579343	204.31	MRFAP1	Morf4 family associated protein 1
6243	10193	2.91e-02	1.68e-02	0.1034	2.390.912	0.2472494	137.23	RNF41	ring finger protein 41
6244	90167	2.91e-02	1.68e-02	0.2515	2.390.118	0.6010186	8.85	FRMD7	FERM domain containing 7
6245	54739	2.92e-02	1.69e-02	0.3048	-2.389.574	-0.7282995	558.26	XAF1	XIAP associated factor 1
6246	55119	2.92e-02	1.69e-02	0.1379	-238.873	-0.3293818	73.75	PRPF38B	pre-mRNA processing factor 38B
6247	1803	2.93e-02	1.70e-02	0.2185	-2.387.517	-0.5217475	60.55	DPP4	dipeptidyl peptidase 4
6248	158293	2.94e-02	1.70e-02	0.1247	-2.386.464	-0.2976817	86.25	FAM120AOS	family with sequence similarity 120A opposite strand
6249	101927204	2.95e-02	1.70e-02	0.229	2.385.722	0.546235	24.44	FAM111A-DT	FAM111A divergent transcript
6250	55915	2.95e-02	1.71e-02	0.271	2.385.095	0.6463747	20.42	LANCL2	LanC like glutathione S-transferase 2
6251	252983	2.95e-02	1.71e-02	0.1611	2.385.137	0.3843458	26.27	STXBP4	syntaxin binding protein 4
6252	109910380	2.95e-02	1.71e-02	0.1659	-2.384.846	-0.3956699	211.6	RNA18SN3	RNA, 18S ribosomal N3
6253	2776	2.95e-02	1.71e-02	0.1872	-238.454	-0.4463937	41.68	GNAQ	G protein subunit alpha q
6254	2064	2.96e-02	1.71e-02	0.2744	2.383.952	0.6542286	9.16	ERBB2	erb-b2 receptor tyrosine kinase 2
6255	140707	2.96e-02	1.72e-02	0.3006	-2.383.317	-0.7163097	15.49	BRI3BP	BRI3 binding protein
6256	476	2.98e-02	1.73e-02	0.1437	-2.380.775	-0.3420468	212.83	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
6257	8209	2.99e-02	1.73e-02	0.1159	2.380.538	0.2758094	65.29	GATD3	glutamine amidotransferase class 1 domain containing 3
6258	1979	2.99e-02	1.73e-02	0.1757	-2.380.291	-0.4182439	87.41	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2
6259	9961	2.99e-02	1.73e-02	0.1029	-2.379.365	-0.2449078	117.04	MVP	major vault protein
6260	374882	2.99e-02	1.73e-02	0.0905	-2.379.288	-0.215311	271.52	TMEM205	transmembrane protein 205
6261	388507	3.00e-02	1.74e-02	0.2168	2.378.204	0.5155959	34.07	ZNF788P	zinc finger family member 788, pseudogene
6262	55033	3.00e-02	1.74e-02	0.3781	2.377.845	0.8989576	64	FKBP14	FKBP prolyl isomerase 14
6263	3620	3.01e-02	1.74e-02	0.5804	-2.377.277	-13.797.338	203.22	IDO1	indoleamine 2,3-dioxygenase 1
6264	168850	3.02e-02	1.75e-02	0.3106	-2.375.261	-0.7378411	20.37	ZNF800	zinc finger protein 800
6265	101928820	3.02e-02	1.75e-02	0.4758	2.375.176	11.300.084	10.96	LINC02535	long intergenic non-protein coding RNA 2535
6266	9522	3.03e-02	1.76e-02	0.0921	2.374.375	0.2186519	168.91	SCAMP1	secretory carrier membrane protein 1
6267	873	3.04e-02	1.76e-02	0.1864	-237.314	-0.4424412	950.12	CBR1	carbonyl reductase 1
6268	23085	3.04e-02	1.76e-02	0.1497	2.372.909	0.3552048	68.22	ERC1	ELKS/RAB6-interacting/CAST family member 1
6269	441531	3.05e-02	1.77e-02	0.1112	-2.371.625	-0.2637185	36.27	PGAM4	phosphoglycerate mutase family member 4
6270	90338	3.07e-02	1.78e-02	0.1553	-2.369.662	-0.3680458	45.05	ZNF160	zinc finger protein 160
6271	54796	3.07e-02	1.78e-02	0.5388	2.369.155	12.766.131	30.98	BNC2	basonuclin 2
6272	548644	3.07e-02	1.78e-02	0.1168	2.368.737	0.2766016	60.46	POLR2J3	RNA polymerase II subunit J3
6273	966	3.08e-02	1.79e-02	0.1374	-2.368.285	-0.3254643	2061.22	CD59	CD59 molecule (CD59 blood group)
6274	54482	3.08e-02	1.79e-02	0.1761	2.368.004	0.4168925	43.36	TRMT13	tRNA methyltransferase 13 homolog
6275	9908	3.08e-02	1.79e-02	0.1087	-2.367.821	-0.2574883	180.85	G3BP2	G3BP stress granule assembly factor 2
6276	8363	3.08e-02	1.79e-02	0.2168	-2.367.347	-0.5132442	13.01	H4C11	H4 clustered histone 11
6277	100131564	3.09e-02	1.79e-02	0.2857	-2.367.007	-0.6761847	10.93	CCDC18-AS1	CCDC18 antisense RNA 1
6278	23670	3.09e-02	1.80e-02	0.2355	-2.366.515	-0.5572484	35.79	CEMIP2	cell migration inducing hyaluronidase 2
6279	55829	3.09e-02	1.80e-02	0.0991	2.366.162	0.2343825	257.17	SELENOS	selenoprotein S
6280	9869	3.10e-02	1.80e-02	0.1231	-236.576	-0.2912483	61.73	SETDB1	SET domain bifurcated histone lysine methyltransferase 1
6281	100652772	3.12e-02	1.81e-02	0.1623	2.363.266	0.3834804	43.38	NNT-AS1	NNT antisense RNA 1
6282	10948	3.12e-02	1.82e-02	0.14	-2.362.515	-0.3306843	57.26	STARD3	StAR related lipid transfer domain containing 3
6283	100526694	3.14e-02	1.82e-02	0.2472	2.360.541	0.583622	8.86	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough
6284	167227	3.14e-02	1.83e-02	0.1427	-2.360.255	-0.3367287	120.27	DCP2	decapping mRNA 2
6285	137695	3.15e-02	1.83e-02	0.1087	-2.359.383	-0.2564457	130.63	TMEM68	transmembrane protein 68
6286	9213	3.15e-02	1.83e-02	0.2142	-235.908	-0.5052645	22.38	XPR1	xenotropic and polytropic retrovirus receptor 1
6287	105377621	3.15e-02	1.83e-02	0.2831	2.358.787	0.6677279	10.86	LOC105377621	uncharacterized LOC105377621
6288	54963	3.15e-02	1.84e-02	0.2283	2.358.447	0.5385086	44.31	UCKL1	uridine-cytidine kinase 1 like 1
6289	57291	3.15e-02	1.84e-02	0.3109	2.358.339	0.7331569	60.77	DANCR	differentiation antagonizing non-protein coding RNA
6290	10775	3.16e-02	1.84e-02	0.0916	-2.357.513	-0.2160569	150.32	POP4	POP4 homolog, ribonuclease P/MRP subunit
6291	647946	3.18e-02	1.85e-02	0.3545	2.355.271	0.835019	10.12	MIR924HG	MIR924 host gene
6292	100862671	3.18e-02	1.85e-02	0.3654	2.354.996	0.8605573	51.89	TMEM265	transmembrane protein 265
6293	81892	3.19e-02	1.86e-02	0.0927	2.354.192	0.2182464	1905.87	SLIRP	SRA stem-loop interacting RNA binding protein
6294	9733	3.19e-02	1.86e-02	0.1136	2.353.965	0.2673616	107.09	SART3	spliceosome associated factor 3, U4/U6 recycling protein
6295	84858	3.19e-02	1.86e-02	0.3069	-2.353.852	-0.7224649	10.81	ZNF503	zinc finger protein 503
6296	55341	3.19e-02	1.86e-02	0.1494	2.353.666	0.3516311	66.91	LSG1	large 60S subunit nuclear export GTPase 1
6297	162989	3.19e-02	1.86e-02	0.2023	-2.353.671	-0.4761762	49.65	DEDD2	death effector domain containing 2
6298	1615	3.19e-02	1.86e-02	0.0856	-2.353.494	-0.2013952	444.02	DARS1	aspartyl-tRNA synthetase 1
6299	3612	3.19e-02	1.86e-02	0.0996	-2.353.347	-0.2344073	192.26	IMPA1	inositol monophosphatase 1
6300	10960	3.20e-02	1.86e-02	0.0762	-2.352.705	-0.1793235	266.9	LMAN2	lectin, mannose binding 2
6301	7741	3.20e-02	1.87e-02	0.1535	-2.352.301	-0.3610081	109.21	ZSCAN26	zinc finger and SCAN domain containing 26
6302	57730	3.20e-02	1.87e-02	0.1487	2.351.738	0.3497246	37.34	ANKRD36B	ankyrin repeat domain 36B
6303	3486	3.20e-02	1.87e-02	0.4546	235.176	10.690.671	62.25	IGFBP3	insulin like growth factor binding protein 3
6304	3992	3.20e-02	1.87e-02	0.2136	2.351.845	0.5023812	198.6	FADS1	fatty acid desaturase 1
6305	4931	3.20e-02	1.87e-02	0.1253	235.143	0.2945408	96.05	NVL	nuclear VCP like
6306	10106	3.21e-02	1.87e-02	0.133	2.350.674	0.3127252	93.24	CTDSP2	CTD small phosphatase 2
6307	7419	3.22e-02	1.88e-02	0.0782	234.898	0.1836299	1186.04	VDAC3	voltage dependent anion channel 3
6308	8362	3.24e-02	1.89e-02	0.2077	-2.347.175	-0.4874309	12.78	H4C12	H4 clustered histone 12
6309	4794	3.24e-02	1.89e-02	0.2813	-2.347.127	-0.6602561	44.15	NFKBIE	NFKB inhibitor epsilon
6310	4711	3.24e-02	1.89e-02	0.1058	-234.669	-0.2481959	1104.02	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5
6311	377	3.24e-02	1.90e-02	0.0807	-2.346.451	-0.1893504	155.31	ARF3	ADP ribosylation factor 3
6312	7584	3.25e-02	1.90e-02	0.1606	234.628	0.3769082	72.2	ZNF35	zinc finger protein 35
6313	151636	3.25e-02	1.90e-02	0.2167	-2.345.843	-0.5083339	208.12	DTX3L	deltex E3 ubiquitin ligase 3L
6314	149840	3.25e-02	1.90e-02	0.2988	-234.571	-0.7009548	66.24	SHLD1	shieldin complex subunit 1
6315	7030	3.25e-02	1.90e-02	0.1922	-2.345.529	-0.450795	28.93	TFE3	transcription factor binding to IGHM enhancer 3
6316	55116	3.26e-02	1.90e-02	0.1291	2.344.587	0.3026053	41.32	TMEM39B	transmembrane protein 39B
6317	65059	3.26e-02	1.91e-02	0.1781	-2.344.374	-0.4175124	19.88	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
6318	88745	3.26e-02	1.91e-02	0.1212	2.344.268	0.2841363	98.45	RRP36	ribosomal RNA processing 36
6319	84823	3.26e-02	1.91e-02	0.2192	2.344.313	0.5137935	8.36	LMNB2	lamin B2
6320	10585	3.26e-02	1.91e-02	0.1737	2.343.904	0.4072238	26.29	POMT1	protein O-mannosyltransferase 1
6321	54856	3.26e-02	1.91e-02	0.109	-2.343.691	-0.2554673	193.98	GON4L	gon-4 like
6322	51409	3.27e-02	1.91e-02	0.1346	2.342.706	0.3153785	64.08	HEMK1	HemK methyltransferase family member 1
6323	51715	3.28e-02	1.92e-02	0.2448	2.341.963	0.5732339	13.35	RAB23	RAB23, member RAS oncogene family
6324	100134713	3.28e-02	1.92e-02	0.1277	-2.341.297	-0.2990726	182.4	NDUFB2-AS1	NDUFB2 antisense RNA 1
6325	221035	3.28e-02	1.92e-02	0.1356	-2.341.323	-0.3174701	98.37	REEP3	receptor accessory protein 3
6326	4718	3.28e-02	1.92e-02	0.0978	2.341.325	0.228907	1697.76	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2
6327	1062	3.29e-02	1.92e-02	0.2485	2.340.763	0.5815929	22.17	CENPE	centromere protein E
6328	29988	3.29e-02	1.92e-02	0.2439	-2.340.717	-0.5710169	22.76	SLC2A8	solute carrier family 2 member 8
6329	23378	3.29e-02	1.93e-02	0.1003	2.340.425	0.2347733	69.13	RRP8	ribosomal RNA processing 8
6330	27333	3.29e-02	1.93e-02	0.1855	-234.026	-0.434028	56.41	GOLIM4	golgi integral membrane protein 4
6331	10371	3.29e-02	1.93e-02	0.3245	233.992	0.7593486	22.85	SEMA3A	semaphorin 3A
6332	56267	3.30e-02	1.93e-02	0.1576	-2.339.291	-0.3686046	105.26	KYAT3	kynurenine aminotransferase 3
6333	109729180	3.30e-02	1.93e-02	0.3219	2.339.141	0.7530818	11.49	SNHG26	small nucleolar RNA host gene 26
6334	23170	3.30e-02	1.93e-02	0.2356	2.338.947	0.5510924	13.18	TTLL12	tubulin tyrosine ligase like 12
6335	10826	3.30e-02	1.94e-02	0.1505	-2.338.654	-0.3519696	48.57	FAXDC2	fatty acid hydroxylase domain containing 2
6336	102725044	3.30e-02	1.94e-02	0.1701	-2.338.374	-0.3978366	43.27	LOC102725044	replaced by ID 161424
6337	114991	3.31e-02	1.94e-02	0.2907	2.337.093	0.6793358	15.38	ZNF618	zinc finger protein 618
6338	26173	3.32e-02	1.94e-02	0.2472	2.336.846	0.5777126	13.22	INTS1	integrator complex subunit 1
6339	8334	3.32e-02	1.95e-02	0.1662	2.336.713	0.3882545	31.8	H2AC6	H2A clustered histone 6
6340	6838	3.32e-02	1.95e-02	0.1768	2.336.452	0.4130075	47.72	SURF6	surfeit 6
6341	91010	3.33e-02	1.95e-02	0.2023	-2.335.198	-0.472305	20.2	FMNL3	formin like 3
6342	28976	3.34e-02	1.96e-02	0.1145	2.333.897	0.267211	44.52	ACAD9	acyl-CoA dehydrogenase family member 9
6343	64782	3.34e-02	1.96e-02	0.2153	2.333.828	0.5025082	116.37	AEN	apoptosis enhancing nuclease
6344	22998	3.34e-02	1.96e-02	0.3361	2.333.378	0.7841967	237.21	LIMCH1	LIM and calponin homology domains 1
6345	79613	3.34e-02	1.96e-02	0.1746	-2.333.211	-0.4073997	16.88	TANGO6	transport and golgi organization 6 homolog
6346	9675	3.34e-02	1.96e-02	0.1408	2.333.185	0.3285415	42.57	TTI1	TELO2 interacting protein 1
6347	440434	3.35e-02	1.97e-02	0.1881	2.331.839	0.4386318	11.26	NPEPPSP1	NPEPPS pseudogene 1
6348	400759	3.36e-02	1.97e-02	0.624	-2.331.142	-14.545.232	39.7	GBP1P1	guanylate binding protein 1 pseudogene 1
6349	11162	3.36e-02	1.98e-02	0.2279	2.330.936	0.5311689	12.51	NUDT6	nudix hydrolase 6
6350	2247	3.37e-02	1.98e-02	0.2452	2.330.455	0.5713828	45.23	FGF2	fibroblast growth factor 2
6351	81691	3.37e-02	1.98e-02	0.2937	2.330.364	0.6843364	12.56	REXO5	RNA exonuclease 5
6352	84256	3.37e-02	1.98e-02	0.2183	2.329.791	0.5085345	15.32	FLYWCH1	FLYWCH-type zinc finger 1
6353	55585	3.37e-02	1.98e-02	0.193	-2.329.399	-0.4495055	39.86	UBE2Q1	ubiquitin conjugating enzyme E2 Q1
6354	4598	3.38e-02	1.99e-02	0.3058	2.329.093	0.7122591	12.45	MVK	mevalonate kinase
6355	7881	3.38e-02	1.99e-02	0.1305	2.328.809	0.3038177	254.42	KCNAB1	potassium voltage-gated channel subfamily A regulatory beta subunit 1
6356	79863	3.40e-02	2.00e-02	0.306	2.326.458	0.7119263	10.48	RBFA	ribosome binding factor A
6357	9975	3.41e-02	2.01e-02	0.1867	2.324.733	0.4339832	23.35	NR1D2	nuclear receptor subfamily 1 group D member 2
6358	3146	3.42e-02	2.01e-02	0.0977	2.324.043	0.2269518	2091.59	HMGB1	high mobility group box 1
6359	54463	3.43e-02	2.02e-02	0.3458	-232.325	-0.8033753	13.8	RETREG1	reticulophagy regulator 1
6360	169270	3.43e-02	2.02e-02	0.2342	232.294	0.544104	14.69	ZNF596	zinc finger protein 596
6361	84967	3.43e-02	2.02e-02	0.1255	-2.322.368	-0.2914131	174.52	LSM10	LSM10, U7 small nuclear RNA associated
6362	5494	3.46e-02	2.04e-02	0.188	-2.319.668	-0.4360634	38.37	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
6363	5335	3.46e-02	2.04e-02	0.2812	2.319.591	0.6523471	17.96	PLCG1	phospholipase C gamma 1
6364	115426	3.48e-02	2.05e-02	0.28	2.316.997	0.6488745	15.75	UHRF2	ubiquitin like with PHD and ring finger domains 2
6365	55608	3.48e-02	2.05e-02	0.1448	-2.316.994	-0.3355516	80.52	ANKRD10	ankyrin repeat domain 10
6366	84706	3.49e-02	2.06e-02	0.2267	2.316.117	0.5250344	22.6	GPT2	glutamic--pyruvic transaminase 2
6367	9330	3.50e-02	2.07e-02	0.0995	2.314.292	0.2301736	218.43	GTF3C3	general transcription factor IIIC subunit 3
6368	119032	3.50e-02	2.07e-02	0.1235	-2.314.244	-0.2858417	128.18	BORCS7	BLOC-1 related complex subunit 7
6369	375287	3.51e-02	2.07e-02	0.2899	-2.313.554	-0.6706931	24.27	RBM43	RNA binding motif protein 43
6370	65991	3.52e-02	2.07e-02	0.108	-2.312.664	-0.249742	413.26	FUNDC2	FUN14 domain containing 2
6371	9816	3.52e-02	2.07e-02	0.2988	2.312.538	0.6909593	9.54	URB2	URB2 ribosome biogenesis homolog
6372	54467	3.53e-02	2.08e-02	0.2179	2.311.711	0.5036256	37.16	ANKIB1	ankyrin repeat and IBR domain containing 1
6373	7444	3.53e-02	2.08e-02	0.1639	-2.310.975	-0.3787269	112.84	VRK2	VRK serine/threonine kinase 2
6374	10933	3.53e-02	2.08e-02	0.0931	2.310.958	0.2151473	1973.53	MORF4L1	mortality factor 4 like 1
6375	4691	3.54e-02	2.09e-02	0.1587	2.309.616	0.3665415	797.65	NCL	nucleolin
6376	102157402	3.55e-02	2.09e-02	0.08	2.309.031	0.184778	1052.71	AK6	adenylate kinase 6
6377	10550	3.55e-02	2.10e-02	0.1641	-2.308.777	-0.3788625	1118.44	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5
6378	10148	3.55e-02	2.10e-02	0.366	230.866	0.8449972	10.44	EBI3	Epstein-Barr virus induced 3
6379	619563	3.57e-02	2.11e-02	0.1407	2.306.115	0.3244797	10.78	SNORA7A	small nucleolar RNA, H/ACA box 7A
6380	440519	3.58e-02	2.11e-02	0.268	2.305.804	0.6178583	12.45	ZNF724	zinc finger protein 724
6381	8106	3.58e-02	2.11e-02	0.0998	2.305.554	0.2300501	51.65	PABPN1	poly(A) binding protein nuclear 1
6382	22834	3.58e-02	2.12e-02	0.2189	2.304.861	0.5044282	129.87	ZNF652	zinc finger protein 652
6383	4792	3.59e-02	2.12e-02	0.2619	-2.304.655	-0.6035816	333.65	NFKBIA	NFKB inhibitor alpha
6384	91947	3.59e-02	2.12e-02	0.3387	-2.304.328	-0.7805495	26.59	ARRDC4	arrestin domain containing 4
6385	5877	3.59e-02	2.12e-02	0.1138	-2.304.002	-0.2621169	135.03	RABIF	RAB interacting factor
6386	80131	3.60e-02	2.13e-02	0.3349	2.302.645	0.7710513	11.44	LRRC8E	leucine rich repeat containing 8 VRAC subunit E
6387	6059	3.62e-02	2.14e-02	0.1557	2.301.166	0.3582877	310.49	ABCE1	ATP binding cassette subfamily E member 1
6388	84545	3.62e-02	2.14e-02	0.1335	2.300.404	0.3070304	163.69	MRPL43	mitochondrial ribosomal protein L43
